,features,dicationary
last_15_days_video_music_total_to_whole_ratio,0.0,最近15天video_music_total_个数与总app数比值
last_15_days_lifestyle_total_cnt,0.0,最近15天lifestyle_total_个数
last_15_days_lifestyle_total_to_whole_ratio,0.0,最近15天lifestyle_total_个数与总app数比值
last_15_days_education_total_cnt,0.0,最近15天education_total_个数
last_15_days_education_total_to_whole_ratio,0.0,最近15天education_total_个数与总app数比值
last_15_days_personal_total_cnt,0.0,最近15天personal_total_个数
last_15_days_personal_total_to_whole_ratio,0.0,最近15天personal_total_个数与总app数比值
last_15_days_ebook_total_cnt,0.0,最近15天ebook_total_个数
last_15_days_ebook_total_to_whole_ratio,0.0,最近15天ebook_total_个数与总app数比值
last_15_days_effication_total_cnt,0.0,最近15天effication_total_个数
last_15_days_effication_total_to_whole_ratio,0.0,最近15天effication_total_个数与总app数比值
last_15_days_entertainment_total_cnt,0.0,最近15天entertainment_total_个数
last_15_days_entertainment_total_to_whole_ratio,0.0,最近15天entertainment_total_个数与总app数比值
last_15_days_communication_total_cnt,0.0,最近15天communication_total_个数
last_15_days_communication_total_to_whole_ratio,0.0,最近15天communication_total_个数与总app数比值
last_15_days_finance_total_cnt,0.0,最近15天finance_total_个数
last_15_days_finance_total_to_whole_ratio,0.0,最近15天finance_total_个数与总app数比值
last_15_days_travel_total_cnt,0.0,最近15天travel_total_个数
last_15_days_travel_total_to_whole_ratio,0.0,最近15天travel_total_个数与总app数比值
last_15_days_business_total_cnt,0.0,最近15天business_total_个数
last_15_days_business_total_to_whole_ratio,0.0,最近15天business_total_个数与总app数比值
last_15_days_shopping_total_cnt,0.0,最近15天shopping_total_个数
last_15_days_shopping_total_to_whole_ratio,0.0,最近15天shopping_total_个数与总app数比值
last_15_days_gamble_total_cnt,0.0,最近15天gamble_total_个数
last_15_days_gamble_total_to_whole_ratio,0.0,最近15天gamble_total_个数与总app数比值
last_15_days_social_total_cnt,0.0,最近15天social_total_个数
last_15_days_social_total_to_whole_ratio,0.0,最近15天social_total_个数与总app数比值
last_15_days_others_total_cnt,0.0,最近15天others_total_个数
last_15_days_others_total_to_whole_ratio,0.0,最近15天others_total_个数与总app数比值
last_15_days_total_category_unique,1.0,最近15total不同种类数
last_15_days_total_category_unique_to_whole_ratio,0.058823529411764705,最近15total不同种类数与全种类比值
last_15_day_cash_app_cnt_total,2.0,最近15天现金贷apptotal数
last_15_day_gp_cash_app_cnt_total,0.0,最近15天现金贷google play 上的total数
last_15_day_un_gp_cash_app_cnt_total,2.0,最近15天现金贷非google play 上的total数
last_15_day_review_unpopular_app_total,0.0,最近15天_review_unpopular_app_total数
last_15_day_review_unpopular_app_total_to_whole_ratio,0.0,最近15天_review_unpopular_app_total数与总数比值
last_15_day_review_unpopular_second_app_total,0.0,最近15天_review_unpopular_second_app_total数
last_15_day_review_unpopular_second_app_total_to_whole_ratio,0.0,最近15天_review_unpopular_second_app_total数与总数比值
last_15_day_review_middle_app_total,0.0,最近15天_review_middle_app_total数
last_15_day_review_middle_app_total_to_whole_ratio,0.0,最近15天_review_middle_app_total数与总数比值
last_15_day_review_popular_app_total,0.0,最近15天_review_popular_app_total数
last_15_day_review_popular_app_total_to_whole_ratio,0.0,最近15天_review_popular_app_total数与总数比值
last_15_day_install_unpopular_app_total,0.0,最近15天_install_unpopular_app_total数
last_15_day_install_unpopular_app_total_to_whole_ratio,0.0,最近15天_install_unpopular_app_total数与总数比值
last_15_day_install_unpopular_second_app_total,0.0,最近15天_install_unpopular_second_app_total数
last_15_day_install_unpopular_second_app_total_to_whole_ratio,0.0,最近15天_install_unpopular_second_app_total数与总数比值
last_15_day_install_middle_app_total,0.0,最近15天_install_middle_app_total数
last_15_day_install_middle_app_total_to_whole_ratio,0.0,最近15天_install_middle_app_total数与总数比值
last_15_day_install_popular_app_total,0.0,最近15天_install_popular_app_total数
last_15_day_install_popular_app_total_to_whole_ratio,0.0,最近15天_install_popular_app_total数与总数比值
last_15_day_cash_install_unpopular_app_total,0.0,最近15天_cash_install_unpopular_app_total数
last_15_day_cash_install_unpopular_app_total_to_whole_ratio,0.0,最近15天_cash_install_unpopular_app_total数与总数比值
last_15_day_cash_install_unpopular_second_app_total,0.0,最近15天_cash_install_unpopular_second_app_total数
last_15_day_cash_install_unpopular_second_app_total_to_whole_ratio,0.0,最近15天_cash_install_unpopular_second_app_total数与总数比值
last_15_day_cash_install_middle_app_total,0.0,最近15天_cash_install_middle_app_total数
last_15_day_cash_install_middle_app_total_to_whole_ratio,0.0,最近15天_cash_install_middle_app_total数与总数比值
last_15_day_cash_install_popular_app_total,0.0,最近15天_cash_install_popular_app_total数
last_15_day_cash_install_popular_app_total_to_whole_ratio,0.0,最近15天_cash_install_popular_app_total数与总数比值
last_15_cate_gory_kind1_total_cnt,0.0,最近15天第一类app total 数
last_15_cate_gory_kind2_total_cnt,0.0,最近15天第二类app total 数
last_15_cate_gory_kind1_total_ratio,0.0,最近15天第一类app total 占比
last_15_cate_gory_kind2_total_ratio,0.0,最近15天第二类app total 占比
last_30_days_app_total_cnt,5.0,最近30天_app_total_个数
last_30_days_review_total_max,151825350.0,最近30天_热评_total_最大数
last_30_days_review_total_sum,161511383.0,最近30天_热评_total_合计
last_30_days_review_total_avg,32302276.6,最近30天_热评_total_均值
last_30_days_review_total_min,9716030.0,最近30天_热评_total_最小数
last_30_days_game_total_cnt,0.0,最近30天game_total_个数
last_30_days_game_total_to_whole_ratio,0.0,最近30天game_total_个数与总app数比值
last_30_days_tools_total_cnt,0.0,最近30天tools_total_个数
last_30_days_tools_total_to_whole_ratio,0.0,最近30天tools_total_个数与总app数比值
last_30_days_video_music_total_cnt,0.0,最近30天video_music_total_个数
last_30_days_video_music_total_to_whole_ratio,0.0,最近30天video_music_total_个数与总app数比值
last_30_days_lifestyle_total_cnt,0.0,最近30天lifestyle_total_个数
last_30_days_lifestyle_total_to_whole_ratio,0.0,最近30天lifestyle_total_个数与总app数比值
last_30_days_education_total_cnt,0.0,最近30天education_total_个数
last_30_days_education_total_to_whole_ratio,0.0,最近30天education_total_个数与总app数比值
last_30_days_personal_total_cnt,0.0,最近30天personal_total_个数
last_30_days_personal_total_to_whole_ratio,0.0,最近30天personal_total_个数与总app数比值
last_30_days_ebook_total_cnt,0.0,最近30天ebook_total_个数
last_30_days_ebook_total_to_whole_ratio,0.0,最近30天ebook_total_个数与总app数比值
last_30_days_effication_total_cnt,0.0,最近30天effication_total_个数
last_30_days_effication_total_to_whole_ratio,0.0,最近30天effication_total_个数与总app数比值
last_30_days_entertainment_total_cnt,0.0,最近30天entertainment_total_个数
last_30_days_entertainment_total_to_whole_ratio,0.0,最近30天entertainment_total_个数与总app数比值
last_30_days_communication_total_cnt,2.0,最近30天communication_total_个数
last_30_days_communication_total_to_whole_ratio,0.4,最近30天communication_total_个数与总app数比值
last_30_days_finance_total_cnt,0.0,最近30天finance_total_个数
last_30_days_finance_total_to_whole_ratio,0.0,最近30天finance_total_个数与总app数比值
last_30_days_travel_total_cnt,0.0,最近30天travel_total_个数
last_30_days_travel_total_to_whole_ratio,0.0,最近30天travel_total_个数与总app数比值
last_30_days_business_total_cnt,0.0,最近30天business_total_个数
last_30_days_business_total_to_whole_ratio,0.0,最近30天business_total_个数与总app数比值
last_30_days_shopping_total_cnt,0.0,最近30天shopping_total_个数
last_30_days_shopping_total_to_whole_ratio,0.0,最近30天shopping_total_个数与总app数比值
last_30_days_gamble_total_cnt,0.0,最近30天gamble_total_个数
last_30_days_gamble_total_to_whole_ratio,0.0,最近30天gamble_total_个数与总app数比值
last_30_days_social_total_cnt,0.0,最近30天social_total_个数
last_30_days_social_total_to_whole_ratio,0.0,最近30天social_total_个数与总app数比值
last_30_days_others_total_cnt,0.0,最近30天others_total_个数
last_30_days_others_total_to_whole_ratio,0.0,最近30天others_total_个数与总app数比值
last_30_days_total_category_unique,2.0,最近30total不同种类数
last_30_days_total_category_unique_to_whole_ratio,0.11764705882352941,最近30total不同种类数与全种类比值
last_30_day_cash_app_cnt_total,2.0,最近30天现金贷apptotal数
last_30_day_gp_cash_app_cnt_total,0.0,最近30天现金贷google play 上的total数
last_30_day_un_gp_cash_app_cnt_total,2.0,最近30天现金贷非google play 上的total数
last_30_day_review_unpopular_app_total,0.0,最近30天_review_unpopular_app_total数
last_30_day_review_unpopular_app_total_to_whole_ratio,0.0,最近30天_review_unpopular_app_total数与总数比值
last_30_day_review_unpopular_second_app_total,0.0,最近30天_review_unpopular_second_app_total数
last_30_day_review_unpopular_second_app_total_to_whole_ratio,0.0,最近30天_review_unpopular_second_app_total数与总数比值
last_30_day_review_middle_app_total,0.0,最近30天_review_middle_app_total数
last_30_day_review_middle_app_total_to_whole_ratio,0.0,最近30天_review_middle_app_total数与总数比值
last_30_day_review_popular_app_total,2.0,最近30天_review_popular_app_total数
