,features,dicationary
last_30_day_cash_install_middle_app_only_install,0.0,最近30天_cash_install_middle_app_only_install数
last_30_day_cash_install_middle_app_only_install_to_whole_ratio,0.0,最近30天_cash_install_middle_app_only_install数与总数比值
last_30_day_cash_install_popular_app_only_install,0.0,最近30天_cash_install_popular_app_only_install数
last_30_day_cash_install_popular_app_only_install_to_whole_ratio,0.0,最近30天_cash_install_popular_app_only_install数与总数比值
last_30_cate_gory_kind1_only_install_cnt,0.0,最近30天第一类app only_install 数
last_30_cate_gory_kind2_only_install_cnt,0.0,最近30天第二类app only_install 数
last_30_cate_gory_kind1_only_install_ratio,0.0,最近30天第一类app only_install 占比
last_30_cate_gory_kind2_only_install_ratio,0.0,最近30天第二类app only_install 占比
last_total_days_app_only_install_cnt,278.0,最近total天_app_only_install_个数
last_total_days_review_only_install_max,22036955.0,最近total天_热评_only_install_最大数
last_total_days_review_only_install_sum,104788982.0,最近total天_热评_only_install_合计
last_total_days_review_only_install_avg,376938.7841726619,最近total天_热评_only_install_均值
last_total_days_review_only_install_min,736.0,最近total天_热评_only_install_最小数
last_total_days_game_only_install_cnt,5.0,最近total天game_only_install_个数
last_total_days_game_only_install_to_whole_ratio,0.017985611510791366,最近total天game_only_install_个数与总app数比值
last_total_days_tools_only_install_cnt,9.0,最近total天tools_only_install_个数
last_total_days_tools_only_install_to_whole_ratio,0.03237410071942446,最近total天tools_only_install_个数与总app数比值
last_total_days_video_music_only_install_cnt,2.0,最近total天video_music_only_install_个数
last_total_days_video_music_only_install_to_whole_ratio,0.007194244604316547,最近total天video_music_only_install_个数与总app数比值
last_total_days_lifestyle_only_install_cnt,1.0,最近total天lifestyle_only_install_个数
last_total_days_lifestyle_only_install_to_whole_ratio,0.0035971223021582736,最近total天lifestyle_only_install_个数与总app数比值
last_total_days_education_only_install_cnt,0.0,最近total天education_only_install_个数
last_total_days_education_only_install_to_whole_ratio,0.0,最近total天education_only_install_个数与总app数比值
last_total_days_personal_only_install_cnt,0.0,最近total天personal_only_install_个数
last_total_days_personal_only_install_to_whole_ratio,0.0,最近total天personal_only_install_个数与总app数比值
last_total_days_ebook_only_install_cnt,0.0,最近total天ebook_only_install_个数
last_total_days_ebook_only_install_to_whole_ratio,0.0,最近total天ebook_only_install_个数与总app数比值
last_total_days_effication_only_install_cnt,1.0,最近total天effication_only_install_个数
last_total_days_effication_only_install_to_whole_ratio,0.0035971223021582736,最近total天effication_only_install_个数与总app数比值
last_total_days_entertainment_only_install_cnt,1.0,最近total天entertainment_only_install_个数
last_total_days_entertainment_only_install_to_whole_ratio,0.0035971223021582736,最近total天entertainment_only_install_个数与总app数比值
last_total_days_communication_only_install_cnt,7.0,最近total天communication_only_install_个数
last_total_days_communication_only_install_to_whole_ratio,0.025179856115107913,最近total天communication_only_install_个数与总app数比值
last_total_days_finance_only_install_cnt,18.0,最近total天finance_only_install_个数
last_total_days_finance_only_install_to_whole_ratio,0.06474820143884892,最近total天finance_only_install_个数与总app数比值
last_total_days_travel_only_install_cnt,2.0,最近total天travel_only_install_个数
last_total_days_travel_only_install_to_whole_ratio,0.007194244604316547,最近total天travel_only_install_个数与总app数比值
last_total_days_business_only_install_cnt,1.0,最近total天business_only_install_个数
last_total_days_business_only_install_to_whole_ratio,0.0035971223021582736,最近total天business_only_install_个数与总app数比值
last_total_days_shopping_only_install_cnt,3.0,最近total天shopping_only_install_个数
last_total_days_shopping_only_install_to_whole_ratio,0.01079136690647482,最近total天shopping_only_install_个数与总app数比值
last_total_days_gamble_only_install_cnt,0.0,最近total天gamble_only_install_个数
last_total_days_gamble_only_install_to_whole_ratio,0.0,最近total天gamble_only_install_个数与总app数比值
last_total_days_social_only_install_cnt,1.0,最近total天social_only_install_个数
last_total_days_social_only_install_to_whole_ratio,0.0035971223021582736,最近total天social_only_install_个数与总app数比值
last_total_days_others_only_install_cnt,0.0,最近total天others_only_install_个数
last_total_days_others_only_install_to_whole_ratio,0.0,最近total天others_only_install_个数与总app数比值
last_total_days_only_install_category_unique,13.0,最近totalonly_install不同种类数
last_total_days_only_install_category_unique_to_whole_ratio,0.7647058823529411,最近totalonly_install不同种类数与全种类比值
last_total_day_cash_app_cnt_only_install,8.0,最近total天现金贷apponly_install数
last_total_day_gp_cash_app_cnt_only_install,0.0,最近total天现金贷google play 上的only_install数
last_total_day_un_gp_cash_app_cnt_only_install,8.0,最近total天现金贷非google play 上的only_install数
last_total_day_review_unpopular_app_only_install,0.0,最近total天_review_unpopular_app_only_install数
last_total_day_review_unpopular_app_only_install_to_whole_ratio,0.0,最近total天_review_unpopular_app_only_install数与总数比值
last_total_day_review_unpopular_second_app_only_install,3.0,最近total天_review_unpopular_second_app_only_install数
last_total_day_review_unpopular_second_app_only_install_to_whole_ratio,0.01079136690647482,最近total天_review_unpopular_second_app_only_install数与总数比值
last_total_day_review_middle_app_only_install,10.0,最近total天_review_middle_app_only_install数
last_total_day_review_middle_app_only_install_to_whole_ratio,0.03597122302158273,最近total天_review_middle_app_only_install数与总数比值
last_total_day_review_popular_app_only_install,31.0,最近total天_review_popular_app_only_install数
last_total_day_review_popular_app_only_install_to_whole_ratio,0.11151079136690648,最近total天_review_popular_app_only_install数与总数比值
last_total_day_install_unpopular_app_only_install,0.0,最近total天_install_unpopular_app_only_install数
last_total_day_install_unpopular_app_only_install_to_whole_ratio,0.0,最近total天_install_unpopular_app_only_install数与总数比值
last_total_day_install_unpopular_second_app_only_install,4.0,最近total天_install_unpopular_second_app_only_install数
last_total_day_install_unpopular_second_app_only_install_to_whole_ratio,0.014388489208633094,最近total天_install_unpopular_second_app_only_install数与总数比值
last_total_day_install_middle_app_only_install,6.0,最近total天_install_middle_app_only_install数
last_total_day_install_middle_app_only_install_to_whole_ratio,0.02158273381294964,最近total天_install_middle_app_only_install数与总数比值
last_total_day_install_popular_app_only_install,34.0,最近total天_install_popular_app_only_install数
last_total_day_install_popular_app_only_install_to_whole_ratio,0.1223021582733813,最近total天_install_popular_app_only_install数与总数比值
last_total_day_cash_install_unpopular_app_only_install,0.0,最近total天_cash_install_unpopular_app_only_install数
last_total_day_cash_install_unpopular_app_only_install_to_whole_ratio,0.0,最近total天_cash_install_unpopular_app_only_install数与总数比值
last_total_day_cash_install_unpopular_second_app_only_install,2.0,最近total天_cash_install_unpopular_second_app_only_install数
last_total_day_cash_install_unpopular_second_app_only_install_to_whole_ratio,0.007194244604316547,最近total天_cash_install_unpopular_second_app_only_install数与总数比值
last_total_day_cash_install_middle_app_only_install,5.0,最近total天_cash_install_middle_app_only_install数
last_total_day_cash_install_middle_app_only_install_to_whole_ratio,0.017985611510791366,最近total天_cash_install_middle_app_only_install数与总数比值
last_total_day_cash_install_popular_app_only_install,11.0,最近total天_cash_install_popular_app_only_install数
last_total_day_cash_install_popular_app_only_install_to_whole_ratio,0.039568345323741004,最近total天_cash_install_popular_app_only_install数与总数比值
last_total_cate_gory_kind1_only_install_cnt,18.0,最近total天第一类app only_install 数
last_total_cate_gory_kind2_only_install_cnt,1.0,最近total天第二类app only_install 数
last_total_cate_gory_kind1_only_install_ratio,0.06474820143884892,最近total天第一类app only_install 占比
last_total_cate_gory_kind2_only_install_ratio,0.0035971223021582736,最近total天第二类app only_install 占比
last_3_days_app_update_cnt,5.0,最近3天_app_update_个数
last_3_days_review_update_max,18.0,最近3天_热评_update_最大数
last_3_days_review_update_sum,-39978.0,最近3天_热评_update_合计
last_3_days_review_update_avg,-7995.6,最近3天_热评_update_均值
last_3_days_review_update_min,18.0,最近3天_热评_update_最小数
last_3_days_game_update_cnt,0.0,最近3天game_update_个数
last_3_days_game_update_to_whole_ratio,0.0,最近3天game_update_个数与总app数比值
last_3_days_tools_update_cnt,0.0,最近3天tools_update_个数
last_3_days_tools_update_to_whole_ratio,0.0,最近3天tools_update_个数与总app数比值
last_3_days_video_music_update_cnt,0.0,最近3天video_music_update_个数
last_3_days_video_music_update_to_whole_ratio,0.0,最近3天video_music_update_个数与总app数比值
last_3_days_lifestyle_update_cnt,0.0,最近3天lifestyle_update_个数
last_3_days_lifestyle_update_to_whole_ratio,0.0,最近3天lifestyle_update_个数与总app数比值
last_3_days_education_update_cnt,0.0,最近3天education_update_个数
last_3_days_education_update_to_whole_ratio,0.0,最近3天education_update_个数与总app数比值
last_3_days_personal_update_cnt,0.0,最近3天personal_update_个数
last_3_days_personal_update_to_whole_ratio,0.0,最近3天personal_update_个数与总app数比值
last_3_days_ebook_update_cnt,0.0,最近3天ebook_update_个数
last_3_days_ebook_update_to_whole_ratio,0.0,最近3天ebook_update_个数与总app数比值
last_3_days_effication_update_cnt,0.0,最近3天effication_update_个数
last_3_days_effication_update_to_whole_ratio,0.0,最近3天effication_update_个数与总app数比值
last_3_days_entertainment_update_cnt,1.0,最近3天entertainment_update_个数
last_3_days_entertainment_update_to_whole_ratio,0.2,最近3天entertainment_update_个数与总app数比值
last_3_days_communication_update_cnt,0.0,最近3天communication_update_个数
last_3_days_communication_update_to_whole_ratio,0.0,最近3天communication_update_个数与总app数比值
last_3_days_finance_update_cnt,1.0,最近3天finance_update_个数
last_3_days_finance_update_to_whole_ratio,0.2,最近3天finance_update_个数与总app数比值
last_3_days_travel_update_cnt,0.0,最近3天travel_update_个数
last_3_days_travel_update_to_whole_ratio,0.0,最近3天travel_update_个数与总app数比值
last_3_days_business_update_cnt,0.0,最近3天business_update_个数
last_3_days_business_update_to_whole_ratio,0.0,最近3天business_update_个数与总app数比值
last_3_days_shopping_update_cnt,0.0,最近3天shopping_update_个数
last_3_days_shopping_update_to_whole_ratio,0.0,最近3天shopping_update_个数与总app数比值
last_3_days_gamble_update_cnt,0.0,最近3天gamble_update_个数
last_3_days_gamble_update_to_whole_ratio,0.0,最近3天gamble_update_个数与总app数比值
last_3_days_social_update_cnt,0.0,最近3天social_update_个数
last_3_days_social_update_to_whole_ratio,0.0,最近3天social_update_个数与总app数比值
last_3_days_others_update_cnt,0.0,最近3天others_update_个数
last_3_days_others_update_to_whole_ratio,0.0,最近3天others_update_个数与总app数比值
last_3_days_update_category_unique,3.0,最近3update不同种类数
last_3_days_update_category_unique_to_whole_ratio,0.17647058823529413,最近3update不同种类数与全种类比值
last_3_day_cash_app_cnt_update,0.0,最近3天现金贷appupdate数
last_3_day_gp_cash_app_cnt_update,0.0,最近3天现金贷google play 上的update数
last_3_day_un_gp_cash_app_cnt_update,0.0,最近3天现金贷非google play 上的update数
last_3_day_review_unpopular_app_update,1.0,最近3天_review_unpopular_app_update数
last_3_day_review_unpopular_app_update_to_whole_ratio,0.2,最近3天_review_unpopular_app_update数与总数比值
last_3_day_review_unpopular_second_app_update,0.0,最近3天_review_unpopular_second_app_update数
last_3_day_review_unpopular_second_app_update_to_whole_ratio,0.0,最近3天_review_unpopular_second_app_update数与总数比值
last_3_day_review_middle_app_update,0.0,最近3天_review_middle_app_update数
last_3_day_review_middle_app_update_to_whole_ratio,0.0,最近3天_review_middle_app_update数与总数比值
last_3_day_review_popular_app_update,0.0,最近3天_review_popular_app_update数
last_3_day_review_popular_app_update_to_whole_ratio,0.0,最近3天_review_popular_app_update数与总数比值
last_3_day_install_unpopular_app_update,1.0,最近3天_install_unpopular_app_update数
last_3_day_install_unpopular_app_update_to_whole_ratio,0.2,最近3天_install_unpopular_app_update数与总数比值
last_3_day_install_unpopular_second_app_update,1.0,最近3天_install_unpopular_second_app_update数
last_3_day_install_unpopular_second_app_update_to_whole_ratio,0.2,最近3天_install_unpopular_second_app_update数与总数比值
last_3_day_install_middle_app_update,0.0,最近3天_install_middle_app_update数
last_3_day_install_middle_app_update_to_whole_ratio,0.0,最近3天_install_middle_app_update数与总数比值
last_3_day_install_popular_app_update,0.0,最近3天_install_popular_app_update数
last_3_day_install_popular_app_update_to_whole_ratio,0.0,最近3天_install_popular_app_update数与总数比值
last_3_day_cash_install_unpopular_app_update,1.0,最近3天_cash_install_unpopular_app_update数
last_3_day_cash_install_unpopular_app_update_to_whole_ratio,0.2,最近3天_cash_install_unpopular_app_update数与总数比值
last_3_day_cash_install_unpopular_second_app_update,0.0,最近3天_cash_install_unpopular_second_app_update数
last_3_day_cash_install_unpopular_second_app_update_to_whole_ratio,0.0,最近3天_cash_install_unpopular_second_app_update数与总数比值
last_3_day_cash_install_middle_app_update,0.0,最近3天_cash_install_middle_app_update数
last_3_day_cash_install_middle_app_update_to_whole_ratio,0.0,最近3天_cash_install_middle_app_update数与总数比值
last_3_day_cash_install_popular_app_update,0.0,最近3天_cash_install_popular_app_update数
last_3_day_cash_install_popular_app_update_to_whole_ratio,0.0,最近3天_cash_install_popular_app_update数与总数比值
last_3_cate_gory_kind1_update_cnt,1.0,最近3天第一类app update 数
last_3_cate_gory_kind2_update_cnt,0.0,最近3天第二类app update 数
last_3_cate_gory_kind1_update_ratio,0.2,最近3天第一类app update 占比
last_3_cate_gory_kind2_update_ratio,0.0,最近3天第二类app update 占比
last_15_days_app_update_cnt,13.0,最近15天_app_update_个数
last_15_days_review_update_max,123477239.0,最近15天_热评_update_最大数
last_15_days_review_update_sum,123413118.0,最近15天_热评_update_合计
last_15_days_review_update_avg,9493316.76923077,最近15天_热评_update_均值
last_15_days_review_update_min,18.0,最近15天_热评_update_最小数
last_15_days_game_update_cnt,0.0,最近15天game_update_个数
last_15_days_game_update_to_whole_ratio,0.0,最近15天game_update_个数与总app数比值
last_15_days_tools_update_cnt,0.0,最近15天tools_update_个数
last_15_days_tools_update_to_whole_ratio,0.0,最近15天tools_update_个数与总app数比值
last_15_days_video_music_update_cnt,0.0,最近15天video_music_update_个数
last_15_days_video_music_update_to_whole_ratio,0.0,最近15天video_music_update_个数与总app数比值
last_15_days_lifestyle_update_cnt,0.0,最近15天lifestyle_update_个数
last_15_days_lifestyle_update_to_whole_ratio,0.0,最近15天lifestyle_update_个数与总app数比值
last_15_days_education_update_cnt,0.0,最近15天education_update_个数
last_15_days_education_update_to_whole_ratio,0.0,最近15天education_update_个数与总app数比值
last_15_days_personal_update_cnt,0.0,最近15天personal_update_个数
last_15_days_personal_update_to_whole_ratio,0.0,最近15天personal_update_个数与总app数比值
last_15_days_ebook_update_cnt,0.0,最近15天ebook_update_个数
last_15_days_ebook_update_to_whole_ratio,0.0,最近15天ebook_update_个数与总app数比值
last_15_days_effication_update_cnt,0.0,最近15天effication_update_个数
last_15_days_effication_update_to_whole_ratio,0.0,最近15天effication_update_个数与总app数比值
last_15_days_entertainment_update_cnt,1.0,最近15天entertainment_update_个数
last_15_days_entertainment_update_to_whole_ratio,0.07692307692307693,最近15天entertainment_update_个数与总app数比值
last_15_days_communication_update_cnt,1.0,最近15天communication_update_个数
last_15_days_communication_update_to_whole_ratio,0.07692307692307693,最近15天communication_update_个数与总app数比值
last_15_days_finance_update_cnt,4.0,最近15天finance_update_个数
last_15_days_finance_update_to_whole_ratio,0.3076923076923077,最近15天finance_update_个数与总app数比值
last_15_days_travel_update_cnt,0.0,最近15天travel_update_个数
last_15_days_travel_update_to_whole_ratio,0.0,最近15天travel_update_个数与总app数比值
last_15_days_business_update_cnt,0.0,最近15天business_update_个数
last_15_days_business_update_to_whole_ratio,0.0,最近15天business_update_个数与总app数比值
last_15_days_shopping_update_cnt,0.0,最近15天shopping_update_个数
last_15_days_shopping_update_to_whole_ratio,0.0,最近15天shopping_update_个数与总app数比值
last_15_days_gamble_update_cnt,0.0,最近15天gamble_update_个数
last_15_days_gamble_update_to_whole_ratio,0.0,最近15天gamble_update_个数与总app数比值
last_15_days_social_update_cnt,0.0,最近15天social_update_个数
last_15_days_social_update_to_whole_ratio,0.0,最近15天social_update_个数与总app数比值
last_15_days_others_update_cnt,0.0,最近15天others_update_个数
last_15_days_others_update_to_whole_ratio,0.0,最近15天others_update_个数与总app数比值
last_15_days_update_category_unique,4.0,最近15update不同种类数
last_15_days_update_category_unique_to_whole_ratio,0.23529411764705882,最近15update不同种类数与全种类比值
last_15_day_cash_app_cnt_update,1.0,最近15天现金贷appupdate数
last_15_day_gp_cash_app_cnt_update,0.0,最近15天现金贷google play 上的update数
last_15_day_un_gp_cash_app_cnt_update,1.0,最近15天现金贷非google play 上的update数
last_15_day_review_unpopular_app_update,1.0,最近15天_review_unpopular_app_update数
last_15_day_review_unpopular_app_update_to_whole_ratio,0.07692307692307693,最近15天_review_unpopular_app_update数与总数比值
last_15_day_review_unpopular_second_app_update,0.0,最近15天_review_unpopular_second_app_update数
last_15_day_review_unpopular_second_app_update_to_whole_ratio,0.0,最近15天_review_unpopular_second_app_update数与总数比值
last_15_day_review_middle_app_update,2.0,最近15天_review_middle_app_update数
last_15_day_review_middle_app_update_to_whole_ratio,0.15384615384615385,最近15天_review_middle_app_update数与总数比值
last_15_day_review_popular_app_update,1.0,最近15天_review_popular_app_update数
last_15_day_review_popular_app_update_to_whole_ratio,0.07692307692307693,最近15天_review_popular_app_update数与总数比值
last_15_day_install_unpopular_app_update,1.0,最近15天_install_unpopular_app_update数
last_15_day_install_unpopular_app_update_to_whole_ratio,0.07692307692307693,最近15天_install_unpopular_app_update数与总数比值
last_15_day_install_unpopular_second_app_update,2.0,最近15天_install_unpopular_second_app_update数
last_15_day_install_unpopular_second_app_update_to_whole_ratio,0.15384615384615385,最近15天_install_unpopular_second_app_update数与总数比值
last_15_day_install_middle_app_update,0.0,最近15天_install_middle_app_update数
last_15_day_install_middle_app_update_to_whole_ratio,0.0,最近15天_install_middle_app_update数与总数比值
last_15_day_install_popular_app_update,1.0,最近15天_install_popular_app_update数
last_15_day_install_popular_app_update_to_whole_ratio,0.07692307692307693,最近15天_install_popular_app_update数与总数比值
last_15_day_cash_install_unpopular_app_update,1.0,最近15天_cash_install_unpopular_app_update数
last_15_day_cash_install_unpopular_app_update_to_whole_ratio,0.07692307692307693,最近15天_cash_install_unpopular_app_update数与总数比值
last_15_day_cash_install_unpopular_second_app_update,1.0,最近15天_cash_install_unpopular_second_app_update数
last_15_day_cash_install_unpopular_second_app_update_to_whole_ratio,0.07692307692307693,最近15天_cash_install_unpopular_second_app_update数与总数比值
last_15_day_cash_install_middle_app_update,0.0,最近15天_cash_install_middle_app_update数
last_15_day_cash_install_middle_app_update_to_whole_ratio,0.0,最近15天_cash_install_middle_app_update数与总数比值
last_15_day_cash_install_popular_app_update,2.0,最近15天_cash_install_popular_app_update数
last_15_day_cash_install_popular_app_update_to_whole_ratio,0.15384615384615385,最近15天_cash_install_popular_app_update数与总数比值
last_15_cate_gory_kind1_update_cnt,4.0,最近15天第一类app update 数
last_15_cate_gory_kind2_update_cnt,0.0,最近15天第二类app update 数
last_15_cate_gory_kind1_update_ratio,0.3076923076923077,最近15天第一类app update 占比
last_15_cate_gory_kind2_update_ratio,0.0,最近15天第二类app update 占比
last_30_days_app_update_cnt,27.0,最近30天_app_update_个数
last_30_days_review_update_max,151825350.0,最近30天_热评_update_最大数
last_30_days_review_update_sum,523137117.0,最近30天_热评_update_合计
last_30_days_review_update_avg,19375448.777777776,最近30天_热评_update_均值
last_30_days_review_update_min,18.0,最近30天_热评_update_最小数
last_30_days_game_update_cnt,1.0,最近30天game_update_个数
last_30_days_game_update_to_whole_ratio,0.037037037037037035,最近30天game_update_个数与总app数比值
last_30_days_tools_update_cnt,2.0,最近30天tools_update_个数
last_30_days_tools_update_to_whole_ratio,0.07407407407407407,最近30天tools_update_个数与总app数比值
last_30_days_video_music_update_cnt,0.0,最近30天video_music_update_个数
last_30_days_video_music_update_to_whole_ratio,0.0,最近30天video_music_update_个数与总app数比值
last_30_days_lifestyle_update_cnt,0.0,最近30天lifestyle_update_个数
last_30_days_lifestyle_update_to_whole_ratio,0.0,最近30天lifestyle_update_个数与总app数比值
last_30_days_education_update_cnt,0.0,最近30天education_update_个数
last_30_days_education_update_to_whole_ratio,0.0,最近30天education_update_个数与总app数比值
last_30_days_personal_update_cnt,0.0,最近30天personal_update_个数
last_30_days_personal_update_to_whole_ratio,0.0,最近30天personal_update_个数与总app数比值
last_30_days_ebook_update_cnt,0.0,最近30天ebook_update_个数
last_30_days_ebook_update_to_whole_ratio,0.0,最近30天ebook_update_个数与总app数比值
last_30_days_effication_update_cnt,0.0,最近30天effication_update_个数
last_30_days_effication_update_to_whole_ratio,0.0,最近30天effication_update_个数与总app数比值
last_30_days_entertainment_update_cnt,1.0,最近30天entertainment_update_个数
last_30_days_entertainment_update_to_whole_ratio,0.037037037037037035,最近30天entertainment_update_个数与总app数比值
last_30_days_communication_update_cnt,4.0,最近30天communication_update_个数
last_30_days_communication_update_to_whole_ratio,0.14814814814814814,最近30天communication_update_个数与总app数比值
last_30_days_finance_update_cnt,10.0,最近30天finance_update_个数
last_30_days_finance_update_to_whole_ratio,0.37037037037037035,最近30天finance_update_个数与总app数比值
last_30_days_travel_update_cnt,0.0,最近30天travel_update_个数
last_30_days_travel_update_to_whole_ratio,0.0,最近30天travel_update_个数与总app数比值
last_30_days_business_update_cnt,0.0,最近30天business_update_个数
last_30_days_business_update_to_whole_ratio,0.0,最近30天business_update_个数与总app数比值
last_30_days_shopping_update_cnt,0.0,最近30天shopping_update_个数
last_30_days_shopping_update_to_whole_ratio,0.0,最近30天shopping_update_个数与总app数比值
last_30_days_gamble_update_cnt,0.0,最近30天gamble_update_个数
last_30_days_gamble_update_to_whole_ratio,0.0,最近30天gamble_update_个数与总app数比值
last_30_days_social_update_cnt,0.0,最近30天social_update_个数
last_30_days_social_update_to_whole_ratio,0.0,最近30天social_update_个数与总app数比值
last_30_days_others_update_cnt,0.0,最近30天others_update_个数
last_30_days_others_update_to_whole_ratio,0.0,最近30天others_update_个数与总app数比值
last_30_days_update_category_unique,6.0,最近30update不同种类数
last_30_days_update_category_unique_to_whole_ratio,0.35294117647058826,最近30update不同种类数与全种类比值
last_30_day_cash_app_cnt_update,1.0,最近30天现金贷appupdate数
last_30_day_gp_cash_app_cnt_update,0.0,最近30天现金贷google play 上的update数
last_30_day_un_gp_cash_app_cnt_update,1.0,最近30天现金贷非google play 上的update数
last_30_day_review_unpopular_app_update,3.0,最近30天_review_unpopular_app_update数
last_30_day_review_unpopular_app_update_to_whole_ratio,0.1111111111111111,最近30天_review_unpopular_app_update数与总数比值
last_30_day_review_unpopular_second_app_update,1.0,最近30天_review_unpopular_second_app_update数
last_30_day_review_unpopular_second_app_update_to_whole_ratio,0.037037037037037035,最近30天_review_unpopular_second_app_update数与总数比值
last_30_day_review_middle_app_update,2.0,最近30天_review_middle_app_update数
last_30_day_review_middle_app_update_to_whole_ratio,0.07407407407407407,最近30天_review_middle_app_update数与总数比值
last_30_day_review_popular_app_update,6.0,最近30天_review_popular_app_update数
last_30_day_review_popular_app_update_to_whole_ratio,0.2222222222222222,最近30天_review_popular_app_update数与总数比值
last_30_day_install_unpopular_app_update,3.0,最近30天_install_unpopular_app_update数
last_30_day_install_unpopular_app_update_to_whole_ratio,0.1111111111111111,最近30天_install_unpopular_app_update数与总数比值
last_30_day_install_unpopular_second_app_update,5.0,最近30天_install_unpopular_second_app_update数
last_30_day_install_unpopular_second_app_update_to_whole_ratio,0.18518518518518517,最近30天_install_unpopular_second_app_update数与总数比值
last_30_day_install_middle_app_update,1.0,最近30天_install_middle_app_update数
last_30_day_install_middle_app_update_to_whole_ratio,0.037037037037037035,最近30天_install_middle_app_update数与总数比值
last_30_day_install_popular_app_update,6.0,最近30天_install_popular_app_update数
last_30_day_install_popular_app_update_to_whole_ratio,0.2222222222222222,最近30天_install_popular_app_update数与总数比值
last_30_day_cash_install_unpopular_app_update,3.0,最近30天_cash_install_unpopular_app_update数
last_30_day_cash_install_unpopular_app_update_to_whole_ratio,0.1111111111111111,最近30天_cash_install_unpopular_app_update数与总数比值
last_30_day_cash_install_unpopular_second_app_update,3.0,最近30天_cash_install_unpopular_second_app_update数
last_30_day_cash_install_unpopular_second_app_update_to_whole_ratio,0.1111111111111111,最近30天_cash_install_unpopular_second_app_update数与总数比值
last_30_day_cash_install_middle_app_update,1.0,最近30天_cash_install_middle_app_update数
last_30_day_cash_install_middle_app_update_to_whole_ratio,0.037037037037037035,最近30天_cash_install_middle_app_update数与总数比值
last_30_day_cash_install_popular_app_update,3.0,最近30天_cash_install_popular_app_update数
last_30_day_cash_install_popular_app_update_to_whole_ratio,0.1111111111111111,最近30天_cash_install_popular_app_update数与总数比值
last_30_cate_gory_kind1_update_cnt,10.0,最近30天第一类app update 数
last_30_cate_gory_kind2_update_cnt,0.0,最近30天第二类app update 数
last_30_cate_gory_kind1_update_ratio,0.37037037037037035,最近30天第一类app update 占比
last_30_cate_gory_kind2_update_ratio,0.0,最近30天第二类app update 占比
last_total_days_app_update_cnt,64.0,最近total天_app_update_个数
last_total_days_review_update_max,151825350.0,最近total天_热评_update_最大数
last_total_days_review_update_sum,859379864.0,最近total天_热评_update_合计
last_total_days_review_update_avg,13427810.375,最近total天_热评_update_均值
last_total_days_review_update_min,18.0,最近total天_热评_update_最小数
last_total_days_game_update_cnt,1.0,最近total天game_update_个数
last_total_days_game_update_to_whole_ratio,0.015625,最近total天game_update_个数与总app数比值
last_total_days_tools_update_cnt,12.0,最近total天tools_update_个数
last_total_days_tools_update_to_whole_ratio,0.1875,最近total天tools_update_个数与总app数比值
last_total_days_video_music_update_cnt,4.0,最近total天video_music_update_个数
last_total_days_video_music_update_to_whole_ratio,0.0625,最近total天video_music_update_个数与总app数比值
last_total_days_lifestyle_update_cnt,2.0,最近total天lifestyle_update_个数
last_total_days_lifestyle_update_to_whole_ratio,0.03125,最近total天lifestyle_update_个数与总app数比值
last_total_days_education_update_cnt,0.0,最近total天education_update_个数
last_total_days_education_update_to_whole_ratio,0.0,最近total天education_update_个数与总app数比值
last_total_days_personal_update_cnt,1.0,最近total天personal_update_个数
last_total_days_personal_update_to_whole_ratio,0.015625,最近total天personal_update_个数与总app数比值
last_total_days_ebook_update_cnt,0.0,最近total天ebook_update_个数
last_total_days_ebook_update_to_whole_ratio,0.0,最近total天ebook_update_个数与总app数比值
last_total_days_effication_update_cnt,2.0,最近total天effication_update_个数
last_total_days_effication_update_to_whole_ratio,0.03125,最近total天effication_update_个数与总app数比值
last_total_days_entertainment_update_cnt,1.0,最近total天entertainment_update_个数
last_total_days_entertainment_update_to_whole_ratio,0.015625,最近total天entertainment_update_个数与总app数比值
last_total_days_communication_update_cnt,9.0,最近total天communication_update_个数
last_total_days_communication_update_to_whole_ratio,0.140625,最近total天communication_update_个数与总app数比值
last_total_days_finance_update_cnt,12.0,最近total天finance_update_个数
last_total_days_finance_update_to_whole_ratio,0.1875,最近total天finance_update_个数与总app数比值
last_total_days_travel_update_cnt,2.0,最近total天travel_update_个数
last_total_days_travel_update_to_whole_ratio,0.03125,最近total天travel_update_个数与总app数比值
last_total_days_business_update_cnt,0.0,最近total天business_update_个数
last_total_days_business_update_to_whole_ratio,0.0,最近total天business_update_个数与总app数比值
last_total_days_shopping_update_cnt,0.0,最近total天shopping_update_个数
last_total_days_shopping_update_to_whole_ratio,0.0,最近total天shopping_update_个数与总app数比值
last_total_days_gamble_update_cnt,0.0,最近total天gamble_update_个数
last_total_days_gamble_update_to_whole_ratio,0.0,最近total天gamble_update_个数与总app数比值
last_total_days_social_update_cnt,0.0,最近total天social_update_个数
last_total_days_social_update_to_whole_ratio,0.0,最近total天social_update_个数与总app数比值
last_total_days_others_update_cnt,0.0,最近total天others_update_个数
last_total_days_others_update_to_whole_ratio,0.0,最近total天others_update_个数与总app数比值
last_total_days_update_category_unique,11.0,最近totalupdate不同种类数
last_total_days_update_category_unique_to_whole_ratio,0.6470588235294118,最近totalupdate不同种类数与全种类比值
last_total_day_cash_app_cnt_update,1.0,最近total天现金贷appupdate数
last_total_day_gp_cash_app_cnt_update,0.0,最近total天现金贷google play 上的update数
last_total_day_un_gp_cash_app_cnt_update,1.0,最近total天现金贷非google play 上的update数
